registerNum,country1,country2,dateBegan,dateEnded,durationDays,peopleDead,peopleDisplaced,damageUsd,mainCause1,mainCause2,mainCause3,severity,affectedSqKm,magnitude,centroidX,centroidY,region,sub_region,region_code,sub_region_code,year
4289,Uruguay,,2015-08-17 00:00:00,2015-08-19 00:00:00,3,0,4158,,Heavy Rain,,,very large,63707.6,5.457403758,-55.6997,-32.6329,Americas,South America,19.0,5.0,2015
4288,India,,2015-08-13 00:00:00,2015-09-11 00:00:00,30,5,18000,,Monsoon,,,large,69190.14,6.3171654639999995,93.751,26.8946,Asia,Southern Asia,142.0,34.0,2015
4287,Philippines,,2015-08-02 00:00:00,2015-08-05 00:00:00,4,7,0,,Heavy Rain,,,large,9791.46,4.592907445,125.052,7.391489999999999,Asia,South-Eastern Asia,142.0,35.0,2015
4286,China,,2015-08-02 00:00:00,2015-08-05 00:00:00,4,8,0,,Heavy Rain,,,very large,53741.01,5.508457075,112.531,35.0925,Asia,Eastern Asia,142.0,30.0,2015
4285,Guinea,,2015-07-26 00:00:00,2015-08-05 00:00:00,11,4,0,,Heavy Rain,,,large,22455.5,5.392715415,-13.4378,10.0395,Africa,Western Africa,2.0,11.0,2015
4284,Macedonia,,2015-08-03 00:00:00,2015-08-05 00:00:00,3,4,0,,Heavy Rain,,,large,5957.41,4.252178745,21.1907,41.7575,,,,,2015
4283,Burma/Myanmar,,2015-07-15 00:00:00,2015-08-19 00:00:00,36,88,85400,,Monsoon,,,extreme,296423.97,7.329245816,95.5326,20.1747,Asia,South-Eastern Asia,142.0,35.0,2015
4282,India,,2015-07-15 00:00:00,2015-08-19 00:00:00,36,206,300000,,Monsoon,Hurricane/Tropical Storm,,extreme,629961.61,7.656646581,82.6165,26.2074,Asia,Southern Asia,142.0,34.0,2015
4281,Paraguay,,2015-07-25 00:00:00,2015-08-05 00:00:00,12,0,3700,,Heavy Rain,,,very large,28652.69,5.712437906,-58.273,-25.0451,Americas,South America,19.0,5.0,2015
4280,Vietnam,,2015-07-25 00:00:00,2015-08-05 00:00:00,12,20,3000,,Heavy Rain,,,extreme,24336.74,5.7664736439999995,106.865,20.8137,Asia,South-Eastern Asia,142.0,35.0,2015
4279,United States,,2015-07-17 00:00:00,2015-07-21 00:00:00,5,0,0,,Heavy Rain,,,very large,109391.2,5.91404365,-113.587,34.1148,Americas,Northern America,19.0,21.0,2015
4278,Philippines,,2015-07-12 00:00:00,2015-07-21 00:00:00,10,4,3000,,Monsoon,,,large,16151.08,5.208201568,120.796,15.5509,Asia,South-Eastern Asia,142.0,35.0,2015
4277,Iran,,2015-07-14 00:00:00,2015-07-21 00:00:00,8,20,0,,Heavy Rain,,,large,776608.3,6.793292015,54.0377,33.3604,Asia,Southern Asia,142.0,34.0,2015
4276,Brazil,,2015-07-10 00:00:00,2015-07-21 00:00:00,12,3,1000,,Heavy Rain,,,large,690931.31,6.91861612,-50.751000000000005,-25.5689,Americas,South America,19.0,5.0,2015
4275,Guyana,,2015-07-16 00:00:00,2015-07-21 00:00:00,6,0,0,,Heavy Rain,,,very large,30931.23,5.444639700000001,-58.7431,6.665760000000001,Americas,South America,19.0,5.0,2015
4274,United States,,2015-07-18 00:00:00,2015-07-21 00:00:00,4,3,0,,Heavy Rain,,,very large,44261.07,5.4241731589999995,-83.165,38.3887,Americas,Northern America,19.0,21.0,2015
4273,Tajikistan,,2015-07-15 00:00:00,2015-07-21 00:00:00,7,0,10000,,Snow/Ice Melt,,,very large,56196.01,5.77089478,73.1149,38.0626,Asia,Central Asia,142.0,143.0,2015
4272,Pakistan,,2015-07-15 00:00:00,2015-08-19 00:00:00,36,166,803000,,Monsoon,,,very large,137039.96,6.869240982999999,72.2737,34.3432,Asia,Southern Asia,142.0,34.0,2015
4271,Cameroon,,2015-06-22 00:00:00,2015-06-29 00:00:00,8,0,3000,,Heavy Rain,,,large,4726.19,4.577601164,9.884210000000001,3.9474099999999996,Africa,Middle Africa,2.0,17.0,2015
4270,Pakistan,,2015-06-25 00:00:00,2015-06-29 00:00:00,5,10,0,,Heavy Rain,,,very large,73485.14,5.741260789,72.8428,35.0129,Asia,Southern Asia,142.0,34.0,2015
4269,Costa Rica,,2015-06-21 00:00:00,2015-06-29 00:00:00,9,0,700,,Heavy Rain,,,very large,16754.38,5.35446213,-83.8331,10.1743,Americas,Central America,19.0,13.0,2015
4268,Vietnam,,2015-06-24 00:00:00,2015-06-29 00:00:00,6,7,100,,Hurricane/Tropical Storm,,,very large,6346.62,4.756785005,103.525,21.3114,Asia,South-Eastern Asia,142.0,35.0,2015
4267,United States,,2015-06-27 00:00:00,2015-06-29 00:00:00,3,2,0,,Heavy Rain,,,large,161572.75,5.685489372,-84.7486,39.3942,Americas,Northern America,19.0,21.0,2015
4266,Russia,,2015-06-25 00:00:00,2015-06-29 00:00:00,5,1,0,,Heavy Rain,,,very large,5567.64,4.62073241,39.3401,44.1285,Europe,Eastern Europe,150.0,151.0,2015
4265,India,,2015-06-24 00:00:00,2015-06-29 00:00:00,6,81,9000,,Monsoon,,,very large,43781.56,5.595533741000001,70.7643,21.8734,Asia,Southern Asia,142.0,34.0,2015
4264,New Zealand,,2015-06-22 00:00:00,2015-06-29 00:00:00,8,0,100,,Heavy Rain,,,very large,8948.6,5.0309363419999995,175.231,-39.8648,Oceania,Australia and New Zealand,9.0,53.0,2015
4263,Bangladesh,,2015-06-24 00:00:00,2015-06-29 00:00:00,6,0,23,,Heavy Rain,,,very large,12508.17,5.051436285,91.9942,22.4079,Asia,Southern Asia,142.0,34.0,2015
4262,Nepal,,2015-06-10 00:00:00,2015-06-15 00:00:00,6,40,0,,Monsoon,,,large,12034.28,4.858571362,87.3919,27.4682,Asia,Southern Asia,142.0,34.0,2015
4261,Georgia,,2015-06-13 00:00:00,2015-06-15 00:00:00,3,12,200,,Heavy Rain,,,very large,13022.99,4.767923221,44.5362,42.0683,Asia,Western Asia,142.0,145.0,2015
4260,Ghana,Togo,2015-06-02 00:00:00,2015-06-15 00:00:00,14,150,5300,,Heavy Rain,,,very large,266950.09,6.748649366,-0.546442,7.38005,Africa,Western Africa,2.0,11.0,2015
4259,India,,2015-06-02 00:00:00,2015-06-29 00:00:00,28,3,9000,,Monsoon,,,very large,60437.23,6.404553842,93.8747,26.9195,Asia,Southern Asia,142.0,34.0,2015
4258,Russia,,2015-05-15 00:00:00,2015-06-02 00:00:00,19,0,1200,,Heavy Rain,,,large,242622.13,6.663684012,81.5277,58.1901,Europe,Eastern Europe,150.0,151.0,2015
4257,Romania,,2015-05-25 00:00:00,2015-06-02 00:00:00,9,1,184,,Heavy Rain,,,large,19785.35,5.250586247,22.8609,46.8147,Europe,Eastern Europe,150.0,151.0,2015
4256,Tajikistan,,2015-05-11 00:00:00,2015-05-21 00:00:00,11,0,1776,,Heavy Rain,,,large,32595.44,5.554549532999999,73.2634,37.8142,Asia,Central Asia,142.0,143.0,2015
4255,Chile,,2015-05-17 00:00:00,2015-05-21 00:00:00,5,0,100,,Heavy Rain,,,very large,224189.77,6.225677055,-72.9212,-44.1033,Americas,South America,19.0,5.0,2015
4254,Tanzania,,2015-05-07 00:00:00,2015-05-21 00:00:00,15,12,5000,,Heavy Rain,,,very large,194128.66,6.640272175,36.8905,-5.060169999999999,Africa,Eastern Africa,2.0,14.0,2015
4253,New Zealand,,2015-05-13 00:00:00,2015-05-21 00:00:00,9,1,100,,Heavy Rain,,,very large,7484.07,5.004471608999999,175.355,-41.092,Oceania,Australia and New Zealand,9.0,53.0,2015
4252,United States,,2015-05-05 00:00:00,2015-06-29 00:00:00,56,38,600,,Heavy Rain,,,extreme,849464.57,7.978363292,-97.9863,34.1936,Americas,Northern America,19.0,21.0,2015
4251,India,,2015-05-17 00:00:00,2015-05-21 00:00:00,5,8,200,,Heavy Rain,,,large,14179.41,4.850628165,79.1771,10.7121,Asia,Southern Asia,142.0,34.0,2015
4250,Colombia,,2015-05-01 00:00:00,2015-05-21 00:00:00,21,58,200,,Heavy Rain,,,extreme,140968.57,6.772371585,-74.5048,5.706930000000001,Americas,South America,19.0,5.0,2015
4249,China,,2015-05-13 00:00:00,2015-06-29 00:00:00,48,57,82000,,Heavy Rain,,,very large,247569.94,7.251030407999999,114.98100000000001,27.0326,Asia,Eastern Asia,142.0,30.0,2015
4248,Kenya,,2015-04-27 00:00:00,2015-05-02 00:00:00,6,13,3000,,Heavy Rain,,,very large,20432.58,5.264565717,36.2471,-0.795186,Africa,Eastern Africa,2.0,14.0,2015
4247,Australia,,2015-05-01 00:00:00,2015-05-02 00:00:00,2,5,0,,Heavy Rain,,,extreme,192631.23,5.886786689,150.513,-25.9441,Oceania,Australia and New Zealand,9.0,53.0,2015
4246,Brazil,,2015-04-01 00:00:00,2015-05-02 00:00:00,32,5,1000,,Heavy Rain,,,very large,450353.51,7.334794789,-67.7993,-6.97805,Americas,South America,19.0,5.0,2015
4245,Pakistan,,2015-04-26 00:00:00,2015-04-28 00:00:00,3,44,4800,,Heavy Rain,,,very large,21148.15,4.978484896,71.8901,33.5131,Asia,Southern Asia,142.0,34.0,2015
4244,Australia,,2015-04-20 00:00:00,2015-04-28 00:00:00,9,4,1000,,Heavy Rain,,,extreme,175487.07,6.4995176279999995,150.612,-33.3812,Oceania,Australia and New Zealand,9.0,53.0,2015
4243,Haiti,,2015-04-04 00:00:00,2015-04-06 00:00:00,3,6,1000,,Heavy Rain,,,large,3672.34,4.042064138,-72.1912,18.685,Americas,Caribbean,19.0,29.0,2015
4242,Kazahkstan,,2015-03-23 00:00:00,2015-04-15 00:00:00,24,0,5600,,Snow/Ice Melt,,,large,213897.13,6.710416199,65.5929,48.4049,,,,,2015
4241,Madagascar,,2015-03-05 00:00:00,2015-04-15 00:00:00,42,0,25000,,Heavy Rain,,,very large,68755.39,6.636647299,47.0106,-18.1557,Africa,Eastern Africa,2.0,14.0,2015
4240,China,,2015-04-04 00:00:00,2015-04-15 00:00:00,12,0,12000,,Hurricane/Tropical Storm,,,very large,145834.77,6.419133586,110.676,27.9271,Asia,Eastern Asia,142.0,30.0,2015
4239,India,,2015-03-20 00:00:00,2015-03-31 00:00:00,12,44,2907,,Heavy Rain,,,very large,70287.98,6.102153567,76.4058,33.1767,Asia,Southern Asia,142.0,34.0,2015
4238,Chile,,2015-03-25 00:00:00,2015-04-08 00:00:00,15,27,2514,,Heavy Rain,,,extreme,154773.16,6.666816904,-68.888,-22.3617,Americas,South America,19.0,5.0,2015
4237,Brazil,,2015-02-23 00:00:00,2015-04-15 00:00:00,52,0,10000,,Heavy Rain,,,large,173696.63,6.9557947360000005,-68.9127,-9.12272,Americas,South America,19.0,5.0,2015
4236,Kenya,Tanzania,2015-04-05 00:00:00,2015-04-15 00:00:00,11,13,6500,,Heavy Rain,,,very large,32934.83,5.73513937,35.1089,0.04848,Africa,Eastern Africa,2.0,14.0,2015
4235,Brazil,,2015-03-15 00:00:00,2015-03-23 00:00:00,9,0,280,,Heavy Rain,,,very large,168905.06,6.357976429,-67.725,-7.68508,Americas,South America,19.0,5.0,2015
4234,Tanzania,,2015-03-03 00:00:00,2015-03-23 00:00:00,21,38,0,,Heavy Rain,,,very large,40007.02,6.100446757,33.748000000000005,-4.31417,Africa,Eastern Africa,2.0,14.0,2015
4233,Angola,,2015-03-09 00:00:00,2015-03-23 00:00:00,15,0,1000,,Heavy Rain,,,very large,10252.79,5.36302458,13.6811,-8.81664,Africa,Middle Africa,2.0,17.0,2015
4232,Angola,,2015-03-09 00:00:00,2015-03-23 00:00:00,15,60,1000,,Heavy Rain,,,very large,12133.31,5.436161812000001,13.879000000000001,-12.1145,Africa,Middle Africa,2.0,17.0,2015
4231,Indonesia,,2015-03-15 00:00:00,2015-03-23 00:00:00,9,0,4000,,Heavy Rain,,,large,7001.53,4.799435463,108.399,-6.558680000000001,Asia,South-Eastern Asia,142.0,35.0,2015
4230,United States,,2015-03-10 00:00:00,2015-03-23 00:00:00,14,0,0,,Heavy Rain,,,very large,56870.12,6.077103439,-86.2332,37.0268,Americas,Northern America,19.0,21.0,2015
4229,Mexico,,2015-03-13 00:00:00,2015-03-23 00:00:00,11,0,800,,Heavy Rain,,,large,60978.86,5.826571986,-103.43,19.4811,Americas,Central America,19.0,13.0,2015
4228,Argentina,,2015-02-15 00:00:00,2015-02-24 00:00:00,10,7,700,,Heavy Rain,,,very large,349365.45,6.719371213,-63.5929,-32.3809,Americas,South America,19.0,5.0,2015
4227,Dominican Republic,,2015-02-20 00:00:00,2015-02-24 00:00:00,5,0,12000,,Heavy Rain,,,large,11588.13,4.762983363,-69.8035,19.3285,Americas,Caribbean,19.0,29.0,2015
4226,Australia,,2015-02-22 00:00:00,2015-02-24 00:00:00,3,0,350,,Hurricane/Tropical Storm,,,very large,445272.72,6.301838602,135.716,-18.2,Oceania,Australia and New Zealand,9.0,53.0,2015
4225,Bolivia,Peru,2015-02-20 00:00:00,2015-02-24 00:00:00,5,0,4000,,Monsoon,,,very large,487370.75,6.562920724,-65.8445,-11.5042,Americas,South America,19.0,5.0,2015
4224,Madagascar,,2015-01-05 00:00:00,2015-02-09 00:00:00,36,0,20000,,Hurricane/Tropical Storm,,,very large,277594.75,7.175805007999999,45.9218,-19.6675,Africa,Eastern Africa,2.0,14.0,2015
4223,Australia,,2015-02-05 00:00:00,2015-02-09 00:00:00,5,0,0,,Monsoon,,,very large,122203.01,5.962143167000001,145.675,-17.8703,Oceania,Australia and New Zealand,9.0,53.0,2015
4222,Indonesia,,2015-02-05 00:00:00,2015-02-09 00:00:00,5,0,300,,Heavy Rain,,,large,18063.44,4.955770465,122.86200000000001,0.6860729999999999,Asia,South-Eastern Asia,142.0,35.0,2015
