"phi_value1213","magnitude1213"
5730.72727272727,5.9
5824.22222222222,6.3
5823.66666666667,5.7
5807.5,6.4
5807.5,6.1
5735.5,5.4
5720.33333333333,5.1
5713.125,6.8
5728.33333333333,6.5
5796.85714285714,4.8
5884.63636363636,6.1
5861.35714285714,5.2
5835.18181818182,6.2
5846.5,5.1
5550.25,4.1
